app,algo,persona,episode,ep_len,ep_return,timestamp_ms,ale_score,deaths,episode_ale_score,pellets,score_delta,steps,unique_tiles
pacman,ppo,pacman_survivor,0,361,131.57286524454977,1761512993075,80857.17385915323,0.0,131.57286524454977,10.547901909283164,67494.93411286041,336.24381260815403,168.57452485458532
pacman,ppo,pacman_survivor,1,388,114.57363610447294,1761512994575,69386.99925604687,0.0,114.57363610447294,9.610516121706752,58196.51933456964,400.00876400716896,204.58505711417683
pacman,ppo,pacman_survivor,2,337,135.53178366435074,1761512996075,73142.24044589965,0.0,135.53178366435074,10.181542974374738,71616.54964701732,313.25391046138174,181.21416822590433
pacman,ppo,pacman_survivor,3,281,66.1451312933267,1761512997575,56532.57142919621,0.0,66.1451312933267,5.150981026658352,27781.53563693943,260.4562042300305,131.43561283053202
pacman,ppo,pacman_survivor,4,320,95.78735290801515,1761512999075,52629.582589010446,0.0,95.78735290801515,15.147960835447945,48744.19917372824,315.5062812657667,169.01755808198013
pacman,ppo,pacman_survivor,5,272,67.14167625170136,1761513000575,47543.737811631545,0.0,67.14167625170136,3.4256703270843154,37800.99122441283,255.05142478416093,133.86681036905142
pacman,ppo,pacman_survivor,6,367,153.6394575971372,1761513002075,93940.59922545427,0.0,153.6394575971372,3.9462383408892583,73730.2402975722,401.99048070820123,177.74859125485563
pacman,ppo,pacman_survivor,7,483,149.740321758079,1761513003575,101709.51676044533,0.0,149.740321758079,12.44699771726346,75848.01083514748,481.4468341621613,239.99520403822567
pacman,ppo,pacman_survivor,8,317,111.39065873060375,1761513005075,44862.91834911683,0.0,111.39065873060375,12.026308189401693,59319.75772599183,301.8379666622273,148.36567874791595
pacman,ppo,pacman_survivor,9,306,97.38387687186737,1761513006575,78532.60226504473,0.0,97.38387687186737,6.177295696182038,52397.132091878906,350.4825201589808,132.85533721031948
pacman,ppo,pacman_survivor,10,407,115.99044375473603,1761513008075,67199.23145356787,0.0,115.99044375473603,9.963938947321651,57637.663449355015,390.9590159927749,186.72089590866975
pacman,ppo,pacman_survivor,11,395,134.7028043268901,1761513009575,68305.97045192946,1.0,134.7028043268901,6.878004627849625,72845.78697243135,387.1425056436648,188.52295196375377
pacman,ppo,pacman_survivor,12,372,140.92884236784445,1761513011075,85558.6764790006,0.0,140.92884236784445,9.030287186981752,71986.0045132177,367.3093246583444,189.48695756408574
pacman,ppo,pacman_survivor,13,278,91.81011592709855,1761513012575,77229.79868813566,0.0,91.81011592709855,3.966101369775795,49083.593010300574,262.2482432797837,143.61986135478045
pacman,ppo,pacman_survivor,14,360,140.45545952040322,1761513014075,89013.56446977923,0.0,140.45545952040322,6.0561237259480905,67132.10912869629,371.10361656814973,190.11018568005056
pacman,ppo,pacman_survivor,15,426,145.89749886423255,1761513015575,75016.52657417131,0.0,145.89749886423255,6.351375133021965,70779.0406141718,448.5419067520708,203.57315842926823
pacman,ppo,pacman_survivor,16,241,80.34397616989374,1761513017075,43319.24802994188,0.0,80.34397616989374,4.389560193020749,37988.26495693248,215.23392312403993,120.07888777110283
pacman,ppo,pacman_survivor,17,322,105.8468573533325,1761513018575,76486.9476862906,0.0,105.8468573533325,13.35676787413952,58136.02535092129,311.8305958275599,143.81653873049615
pacman,ppo,pacman_survivor,18,191,66.02564894385569,1761513020075,25375.24329969821,0.0,66.02564894385569,4.550052319934607,26228.920412095067,182.91958034704422,83.74755116069359
pacman,ppo,pacman_survivor,19,246,110.66167375209153,1761513021575,64312.500410277025,0.0,110.66167375209153,6.648359738724441,49999.91303608247,218.03013232794387,135.07685183831637
pacman,ppo,pacman_survivor,20,196,68.24263065725299,1761513023075,37725.841980850615,1.0,68.24263065725299,11.280294634529461,36499.71078162499,169.58868412952714,96.29454576481912
pacman,ppo,pacman_survivor,21,342,122.28304760135934,1761513024575,94606.07451676887,1.0,122.28304760135934,6.666968726037766,61613.70886773847,333.95922146801985,193.23395213453767
pacman,ppo,pacman_survivor,22,249,74.06391534276374,1761513026075,41241.373299428415,0.0,74.06391534276374,3.2932492027891853,28414.850996927387,230.63635421834945,132.4738226850938
pacman,ppo,pacman_survivor,23,388,125.75522223369937,1761513027575,88207.49800548248,0.0,125.75522223369937,11.147009396153003,61761.19182425222,393.1986883453754,188.28505731765867
pacman,ppo,pacman_survivor,24,378,155.27313012185786,1761513029075,86132.84968439974,0.0,155.27313012185786,5.844451299487084,76783.82433937717,393.02218227648615,180.6179978546704
pacman,ppo,pacman_survivor,25,347,104.61974935235173,1761513030575,54488.846746077106,1.0,104.61974935235173,9.576489909922177,55891.59581181255,349.7032943820709,148.79576051504466
pacman,ppo,pacman_survivor,26,136,25.869124173108954,1761513032075,25198.38044379023,1.0,25.869124173108954,6.674098026236248,7382.894186254371,140.6317334477241,83.44737744762683
pacman,ppo,pacman_survivor,27,315,107.44541479666604,1761513033575,70351.7534845428,0.0,107.44541479666604,4.704244730697101,52215.3657275452,296.2063331149523,169.17362254900212
